postsyn_consensus_list,presyn_consensus
PRKCE,FGF12
PTK2B,FH
PTPRZ1,FKBP1A
PURB,FLRT3
RAB10,FMNL2
RAB14,FMR1
RALA,FOSL1
RAP1A,FXYD6
RHOG,FYN
RPL14,FZD3
RPL24,GABBR1
RPL30,GABBR2
RPL5,GABRA2
RPL7A,GABRA5
RPN1,GABRA6
RPS14,GABRB3
RPS18,GAD1
RPS25,GAD2
RPS3,GDF7
RPS8,GGT7
RTN4,GHRH
RYR2,GIPC1
SEPT11,GIT1
SEPT5,GIT2
SLC1A2,GLRA1
SLC25A11,GM1840
SLC25A12,GM20708
SLC25A4,GNA11
SLC25A5,GNAI1
SND1,GNAI2
SORBS2,GNAI3
SPTAN1,GNAQ
SRC,GNB2
STRN,GNB4
STX1B,GNB5
STXBP1,GNG3
SYN1,GNG4
SYNE1,GNRH1
SYNGR3,GOT1
SYNJ1,GPC4
SYP,GPER1
SYT1,GPI
TCP1,GPM6A
TRIO,GRIA1
UQCRC1,GRIA2
UQCRC2,GRIA3
VCP,GRIA4
VPS35,GRIK1
WDR37,GRIK2
WDR7,GRIK3
AARS,GRIK4
ABCB8,GRIK5
ABCD3,GRIN1
ACLY,GRIN2A
ACO2,GRIN2B
ACSL3,GRM1
ACTB,GRM4
ACTR2,GRM6
AFG3L2,GRM7
AHCYL1,GRM8
AKAP5,GSTM1
ALDH6A1,GSTM5
ALDOC,GUCY1B1
ANK3,HADHB
ANXA11,HAP1
ANXA6,HCN1
AP1B1,HCN3
AP2A2,HCN4
AP2B1,HEPACAM
AP2M1,HIP1
AP2S1,HNRNPAB
AP3B2,HNRNPK
ARF1,HNRNPR
ARF3,HORMAD1
ARF5,HPCA
ARFGEF2,HPCAL1
ARHGAP1,HPCAL4
ARHGEF9,HRAS
ARPC2,HSPA8
ARPC3,HTR1A
ARPC4,HTR1B
ATAD3A,HTR2A
ATL1,HTR3A
ATP1A3,HTR7
ATP2B1,HTT
ATP2B4,ICA1
ATP5A1,ICAM5
ATP5B,IGSF21
ATP5C1,ILK
ATP6V0A1,IQSEC2
BCAS1,ITGA2
BIN1,ITPR1
CACYBP,ITPR3
CAMKV,ITSN1
CAND1,KALRN
CAPZB,KCNA1
CCT4,KCNA2
CCT5,KCNA4
CCT6A,KCNA6
CCT7,KCNC1
CCT8,KCNC2
CDH13,KCNC3
CHCHD6,KCNC4
CISD1,KCNH1
CKAP4,KCNIP3
CLIP2,KCNJ6
CLTB,KCNJ9
CNKSR2,KCNK2
CNTN2,KCNK9
CNTNAP2,KCNMA1
COX5A,KCTD12
COX6C,KCTD16
CPT1A,KIDINS220
CRMP1,KIF1A
CRYM,KIF21A
CSNK1D,KIF3C
CTBP1,KRAS
CTNNA2,L1CAM
CTNND2,LAMP1
CYCS,LAMP2
DAB2IP,LAMTOR1
DBN1,LGI1
DBNL,LGI3
DDOST,LNP
DDX3X,LPAR2
DECR1,LRFN3
DHX30,LRRC47
DNAJA1,LRRC8A
DNAJA2,LRRK2
DNAJA3,MADD
DNAJB6,MAL2
DPP6,MAPK1
DYNC1I1,MAPRE3
DYNC1I2,MARCKSL1
DYNC1LI2,MCTP1
DYNLL2,MCTP2
EEF2,MCTS1
EHD3,MFF
EIF4A2,MGST3
ENPP6,MICAL1
EPB41L2,MME
EPRS,MPP4
EPS15L1,MPP6
EXOC1,MRAS
EXOC2,MT3
EXOC3,MTMR2
EXOC5,MYLK2
EXOC6B,MYO5A
EXOC7,MYO6
EXOC8,NCALD
