postsyn_consensus_list,presyn_consensus
UBE2V2,NA
UBXN6,NA
UGP2,NA
UQCRB,NA
UQCRH,NA
USMG5,NA
VAT1,NA
VCL,NA
VPS18,NA
VPS26B,NA
VPS51,NA
WDR48,NA
WFS1,NA
YARS,NA
YARS2,NA
AASDHPPT,NA
ABAT,NA
ABHD12,NA
ABHD17B,NA
ABHD6,NA
ABLIM3,NA
ACAA1,NA
ACAA2,NA
ACAD9,NA
ACADSB,NA
ACOT8,NA
ACP1,NA
ACTA1,NA
ACTN3,NA
ADCY2,NA
ADCY5,NA
ADCY8,NA
ADGRL1,NA
AGL,NA
AGPAT3,NA
AGPAT4,NA
AGPAT5,NA
AK4,NA
AKAP2,NA
AKR7A2,NA
ALB,NA
ALDH4A1,NA
ALDH7A1,NA
ALYREF,NA
ANKFY1,NA
ANKRD24,NA
AP3S2,NA
APC,NA
APOL2,NA
ARFGAP3,NA
ARFGEF3,NA
ARHGAP35,NA
ARL1,NA
ARL15,NA
ARL6IP5,NA
ARPC5L,NA
ASAP1,NA
ASNA1,NA
ATCAY,NA
ATG2B,NA
ATP2A1,NA
ATP5E,NA
ATP6AP1,NA
ATP8A2,NA
ATP9A,NA
AUH,NA
AVL9,NA
BAG5,NA
BAI1,NA
BPHL,NA
BRK1,NA
BTBD11,NA
C1QC,NA
C22orf28,NA
C2CD2L,NA
C2CD4C,NA
C2CD5,NA
C3,NA
CA2,NA
CAB39,NA
CACNA1B,NA
CACNA1C,NA
CACNG8,NA
CAD,NA
CADM1,NA
CALB2,NA
CAMSAP3,NA
CAND2,NA
CAPG,NA
CAPN2,NA
CAPRIN1,NA
CAT,NA
CBR3,NA
CCDC6,NA
CCT6B,NA
CD47,NA
CD81,NA
CDH4,NA
CDIPT,NA
CDK5RAP3,NA
CDS2,NA
CEP170,NA
CEP170B,NA
CFL2,NA
CHMP2B,NA
CHMP6,NA
CKMT1B,NA
CLCN6,NA
CLDN11,NA
CLIP1,NA
CLIP3,NA
CLMN,NA
CLSTN1,NA
CNIH2,NA
CNOT1,NA
CNR1,NA
CNRIP1,NA
COMTD1,NA
COPB1,NA
COQ10B,NA
CPNE2,NA
CPNE3,NA
CPNE4,NA
CSDE1,NA
CSNK1G3,NA
CSNK2B,NA
CSPG5,NA
CYB5R3,NA
CYP46A1,NA
CYTH2,NA
DAD1,NA
DAGLA,NA
DCX,NA
DDB1,NA
DDX39B,NA
DGKE,NA
DHRS4,NA
DMTN,NA
DNAJC13,NA
DOC2A,NA
DOCK1,NA
DOCK2,NA
DOCK5,NA
DRG2,NA
DYNLT3,NA
ECI2,NA
EHD4,NA
EIF2AK2,NA
EIF4A1,NA
EIF4E,NA
EIF4H,NA
EIF5A,NA
ELFN2,NA
EMC1,NA
ENAH,NA
ENDOD1,NA
ENDOG,NA
ENO3,NA
EPB49,NA
EPDR1,NA
EPN1,NA
ERBB2IP,NA
ERGIC1,NA
ERP44,NA
ESYT1,NA
ETFA,NA
ETFDH,NA
EXOC6,NA
FABP3,NA
FAF2,NA
FAM213A,NA
FAM82A2,NA
FAM98A,NA
FDPS,NA
FGG,NA
FKBP2,NA
FKBP4,NA
FMNL3,NA
FMR1,NA
FXR1,NA
G6PD,NA
GABRA2,NA
GABRB1,NA
GABRB3,NA
GAD2,NA
GARS,NA
GDA,NA
GLOD4,NA
GNB2L1,NA
GOLGA7B,NA
GPM6B,NA
GRB2,NA
GRHPR,NA
GRID1,NA
GRID2,NA
GRIK5,NA
GRIP1,NA
GRM7,NA
GSTO1,NA
GSTP1,NA
GUCY1A2,NA
H1F0,NA
HACD3,NA
HAPLN4,NA
HARS,NA
HCK,NA
HCN1,NA
HEPACAM,NA
HIBCH,NA
HIGD1A,NA
HINT1,NA
HIP1,NA
HIST1H1C,NA
HIST1H4A,NA
HMGB1,NA
HNRNPC,NA
HNRNPH1,NA
HNRNPL,NA
HNRNPU,NA
HP1BP3,NA
HPCAL1,NA
HSD17B10,NA
HSD17B8,NA
HSPA4,NA
HYOU1,NA
IARS,NA
IMPA1,NA
IQGAP1,NA
IST1,NA
ITFG1,NA
ITM2B,NA
ITSN2,NA
KCND2,NA
KCNJ4,NA
KCNMA1,NA
KCTD8,NA
KHDRBS1,NA
KIAA0196,NA
KIAA0284,NA
KIAA0408,NA
KIAA1033,NA
KIAA1045,NA
KIAA1598,NA
KIF20B,NA
KPNA3,NA
KRT1,NA
KRT2,NA
KRT5,NA
KRT6A,NA
LACTB,NA
LANCL1,NA
LAP3,NA
LIPE,NA
LMNA,NA
LMNB1,NA
LMO7,NA
LMTK2,NA
LMTK3,NA
LRFN2,NA
LRPAP1,NA
LRRC40,NA
LRRC4B,NA
LRRTM1,NA
LRRTM2,NA
LRRTM4,NA
LRSAM1,NA
LYNX1,NA
LZTS3,NA
MAP1LC3B,NA
MAP2K4,NA
MAPRE1,NA
MAST1,NA
MATR3,NA
MGST3,NA
MICU3,NA
MIF,NA
MLC1,NA
MOBP,NA
MOSC2,NA
MPC2,NA
MPP3,NA
MRPS22,NA
MSN,NA
MT-ATP8,NA
MT-ND4,NA
MT-ND5,NA
MTFR1L,NA
MTMR2,NA
MTOR,NA
MVP,NA
MYADM,NA
NACA,NA
NAP1L1,NA
NARS,NA
NCL,NA
NCLN,NA
NDEL1,NA
NDUFA6,NA
NDUFAB1,NA
NDUFB11,NA
NDUFB3,NA
NDUFB5,NA
NDUFS5,NA
NEO1,NA
NETO1,NA
NFU1,NA
NLGN1,NA
NME2,NA
NNT,NA
NRAS,NA
NRN1,NA
NT5E,NA
NTRK3,NA
NUDCD2,NA
OCIAD1,NA
OCIAD2,NA
OLFM2,NA
OSBPL8,NA
P4HB,NA
PACSIN2,NA
PARP1,NA
PCSK1N,NA
PDCD6,NA
PDE10A,NA
PDE1A,NA
PDE1B,NA
PDE4B,NA
PDLIM5,NA
PDXP,NA
PGD,NA
PHLDB1,NA
PHYHIPL,NA
PI4K2A,NA
PICK1,NA
PIK3C3,NA
PIK3R4,NA
PITPNM2,NA
PLAA,NA
PLCD1,NA
PLEC,NA
PLEKHA1,NA
PLLP,NA
PLPP3,NA
PLPPR4,NA
PLXNA3,NA
PLXNC1,NA
PLXND1,NA
PMM1,NA
PPID,NA
PPM1H,NA
PPP2R2A,NA
PPP2R5E,NA
PPP5C,NA
PPP6C,NA
PREB,NA
PRICKLE2,NA
PRKAR1B,NA
PRKCD,NA
PRMT5,NA
PRPF8,NA
PRUNE2,NA
PSAP,NA
PSMA4,NA
PSMB6,NA
PSMC4,NA
PSMD1,NA
PSMD12,NA
PSMD4,NA
PSMD6,NA
PSMD7,NA
PSMD8,NA
PTGES2,NA
PTPLAD1,NA
PTPN5,NA
PTPRE,NA
PTPRN2,NA
PYCRL,NA
QARS,NA
RAB13,NA
RAB15,NA
RAB33B,NA
RAB3B,NA
RAB7A,NA
RACK1,NA
RAP2B,NA
RCN2,NA
RDH11,NA
RDX,NA
REEP5,NA
RGS14,NA
RGS17,NA
RGS6,NA
RHOT2,NA
RIC8A,NA
RIMS2,NA
RMDN3,NA
ROCK1,NA
RP2,NA
RPL15,NA
RPL27A,NA
RPL29,NA
RPL32,NA
RPL37A,NA
RPLP1,NA
RPLP2,NA
RPS12,NA
RPS21,NA
RPS26,NA
RPS27A,NA
RRAS2,NA
RTCB,NA
RTN4RL2,NA
S100B,NA
SCFD1,NA
SDHB,NA
SEC14L2,NA
SGTA,NA
SH3PXD2A,NA
SIRT5,NA
SKIV2L,NA
SLC12A6,NA
SLC1A4,NA
SLC25A23,NA
SLC30A9,NA
SLC4A10,NA
SLC4A3,NA
SLC6A9,NA
SLC9A3R2,NA
SMAP1,NA
SNAP47,NA
SNRNP200,NA
SNTB1,NA
SNX9,NA
SOD2,NA
SPARCL1,NA
SPTB,NA
SRCIN1,NA
SRPRB,NA
STAT3,NA
STIM1,NA
STIP1,NA
STK38L,NA
STX4,NA
SUB1,NA
SV2B,NA
SYNJ2BP,NA
SYT12,NA
TAGLN2,NA
TARDBP,NA
TBC1D17,NA
TBC1D9B,NA
TBRG4,NA
TCP11L1,NA
TECR,NA
TIMM44,NA
TMEM11,NA
TMEM126A,NA
TMEM132B,NA
TMX4,NA
TNPO2,NA
TNPO3,NA
TOMM20,NA
TOMM22,NA
TOMM40,NA
TPD52,NA
TPP1,NA
TPPP3,NA
TPT1,NA
TRAPPC10,NA
TRAPPC9,NA
TRIM28,NA
TRIM32,NA
TSFM,NA
TTC35,NA
TTYH1,NA
TUBA8,NA
TUBB2C,NA
TXNDC5,NA
TXNRD2,NA
UBAP2L,NA
UBB,NA
UBC,NA
UBE2O,NA
UBE2V1,NA
UBE3C,NA
UQCR10,NA
UQCRQ,NA
USP15,NA
USP46,NA
VIPAS39,NA
VPS13C,NA
VPS26A,NA
VPS39,NA
VPS41,NA
VPS8,NA
VTI1B,NA
WDR13,NA
WIPF2,NA
WIPI2,NA
WNK2,NA
XPO7,NA
YKT6,NA
ZADH2,NA
ABCB7,NA
ABCD1,NA
ABCE1,NA
ABCF1,NA
ABCF2,NA
ABHD10,NA
ABHD14B,NA
ABHD16A,NA
ABHD17C,NA
ACAA1A,NA
ACAD8,NA
ACADM,NA
ACAT2,NA
ACO1,NA
ACOT1,NA
ACOT13,NA
ACSF2,NA
ACSF3,NA
ACSL1,NA
ACTBL2,NA
ACTR10,NA
ADAM10,NA
ADAP1,NA
ADAR,NA
ADCY3,NA
ADCY9,NA
ADCYAP1R1,NA
ADGRB1,NA
ADGRB2,NA
ADGRL2,NA
ADGRL3,NA
ADSS,NA
AGFG1,NA
AGRN,NA
AHCYL2,NA
AHNAK,NA
AJM1,NA
AKAP7,NA
AKAP9,NA
AKR1C2,NA
AKT1,NA
ALCAM,NA
ALDH16A1,NA
ALDH1A1,NA
ALG2,NA
ALS2,NA
AMBIGUOUS,NA
ANXA3,NA
AP3B1,NA
APBB1,NA
API5,NA
APMAP,NA
APOD,NA
APPL2,NA
ARAF,NA
ARF4,NA
ARFGEF1,NA
ARFIP2,NA
ARHGEF12,NA
ARL3,NA
ARL6IP1,NA
ARL8A,NA
ARMC1,NA
ARPC5,NA
ASAP2,NA
ASIC1,NA
ASNS,NA
ASRGL1,NA
ASTN2,NA
ATAT1,NA
ATF7IP,NA
ATG16L1,NA
ATG3,NA
ATG9A,NA
ATP1B3,NA
ATP2C1,NA
ATP4A,NA
ATP5J,NA
ATP5K,NA
ATP6AP2,NA
ATP6V0C,NA
ATP6V1E2,NA
ATP6V1F,NA
ATRN,NA
ATRX,NA
B3GAT3,NA
BAG3,NA
BAG6,NA
BAI3,NA
BANF1,NA
BCAS3,NA
BCL2L13,NA
BCS1L,NA
BIRC6,NA
BLVRA,NA
BMPR2,NA
BRAF,NA
BRI3BP,NA
BRINP1,NA
BRINP2,NA
C11orf41,NA
C14orf159,NA
C1QL3,NA
CA1,NA
CACNA1A,NA
CACNG7,NA
CADM2,NA
CADM3,NA
CADM4,NA
CALB1,NA
CALM1,NA
CALM2,NA
CALM3,NA
CALU,NA
CAMK1,NA
CAPNS1,NA
CAR4,NA
CARKD,NA
CBARP,NA
CCDC124,NA
CCDC22,NA
CCDC93,NA
CD38,NA
CDC42EP4,NA
CDH11,NA
CDH6,NA
CDK14,NA
CDK16,NA
CDK18,NA
CDK5R1,NA
CELF4,NA
CENPV,NA
CHMP1A,NA
CHMP2A,NA
CHMP3,NA
CHORDC1,NA
CHP1,NA
CHRM3,NA
CLCN3,NA
CLDND1,NA
CLPTM1,NA
CLSTN3,NA
CLVS2,NA
CLYBL,NA
CMAS,NA
CMC1,NA
CNN3,NA
CNNM1,NA
CNTFR,NA
COG3,NA
COMT,NA
COPG,NA
COPG2,NA
COPS2,NA
COPS5,NA
COX6A1,NA
COX7A2,NA
COX7C,NA
CPE,NA
CPEB2,NA
CPEB3,NA
CPEB4,NA
CPNE1,NA
CPNE7,NA
CPT2,NA
CRELD1,NA
CRIPT,NA
CSNK1A1,NA
CUL2,NA
CUL5,NA
CXADR,NA
CYB5A,NA
CYBRD1,NA
D630045J12RIK,NA
DARC,NA
DBC1,NA
DCC,NA
DDHD2,NA
DDN,NA
DECR2,NA
DGKG,NA
DHX15,NA
DHX9,NA
DIAPH1,NA
DIP2A,NA
DNAJB11,NA
DNAJC3,NA
DNAJC5,NA
DNAJC7,NA
DNPEP,NA
DOCK10,NA
DPP10,NA
DPP3,NA
DRG1,NA
DRP2,NA
DSG1B,NA
DTD1,NA
DYNLRB2,NA
DZANK1,NA
EARS2,NA
ECH1,NA
ECI1,NA
EDARADD,NA
EDC4,NA
EFNB2,NA
EFTUD2,NA
EGFR,NA
EIF2S3,NA
EIF2S3X,NA
EIF3D,NA
EIF3E,NA
EIF4B,NA
EIF4G2,NA
ELAVL4,NA
ELFN1,NA
ELMO1,NA
ELMOD1,NA
EMB,NA
EMC4,NA
EMC8,NA
ENTPD2,NA
EPB42,NA
EPHA7,NA
EPHB2,NA
EPHB3,NA
EPHB6,NA
EPM2AIP1,NA
EPN2,NA
EPPK1,NA
EPS8,NA
EPX,NA
ERBB4,NA
ERBIN,NA
ERH,NA
ERLEC1,NA
ERLIN1,NA
ERMN,NA
ESYT2,NA
ETF1,NA
EVI5L,NA
EVL,NA
EWSR1,NA
EXOG,NA
FABP5,NA
FAHD1,NA
FAM107A,NA
FAM120A,NA
FAM123A,NA
FAM126B,NA
FAM162A,NA
FAM213B,NA
FAM3C,NA
FAM92B,NA
FBXL16,NA
FECH,NA
FERMT2,NA
FES,NA
FGB,NA
FGF2,NA
FHL1,NA
FKBP15,NA
FKBP1B,NA
FRRS1L,NA
FRY,NA
FRYL,NA
FXYD7,NA
GABRA3,NA
GALK1,NA
GANAB,NA
GART,NA
GCDH,NA
GCLM,NA
GDE1,NA
GDPD1,NA
GET4,NA
GFRA2,NA
GGA3,NA
GGT7,NA
GMPS,NA
GNG4,NA
GNPAT,NA
GOLGA2,NA
GOLGB1,NA
GOSR1,NA
GPC6,NA
GPD1L,NA
GPR37L1,NA
GPRIN3,NA
GRASP,NA
GRIN2C,NA
GRIP2,NA
GRK2,NA
GRK6,NA
GRLF1,NA
GSR,NA
GSTM1,NA
GSTM2,NA
GSTM5,NA
GTPBP1,NA
GUCY1B3,NA
H2-KE6,NA
H2AFY,NA
H2AFY2,NA
HAGH,NA
HARS2,NA
HBB,NA
HBS1L,NA
HCN4,NA
HDHD2,NA
HEATR5B,NA
HEXB,NA
HIST1H1E,NA
HMGA1,NA
HMGCS1,NA
HNRNPA0,NA
HNRNPD,NA
HNRNPH2,NA
HNRNPH3,NA
HNRNPR,NA
HNRNPUL1,NA
HPCAL4,NA
HSPA12B,NA
HSPA6,NA
HSPB8,NA
HSPE1,NA
HTRA1,NA
ICA1,NA
IDH1,NA
IGSF11,NA
IL1RAPL1,NA
ILF2,NA
ILF3,NA
IMPAD1,NA
INPP4A,NA
IPO9,NA
IQGAP2,NA
IRGQ,NA
ITGAV,NA
ITGB1,NA
ITM2C,NA
ITPA,NA
IVD,NA
JAM3,NA
JPH3,NA
KANK2,NA
KATNAL2,NA
KAZN,NA
KCNA3,NA
KCNB1,NA
KCNJ3,NA
KDSR,NA
KHSRP,NA
KIAA0090,NA
KIAA0174,NA
KIAA0528,NA
KIAA0776,NA
KIAA1543,NA
KIAA1549L,NA
KIF2B,NA
KIF2C,NA
KIFAP3,NA
KIT,NA
KLRAQ1,NA
KRT10,NA
KRT14,NA
KRT16,NA
KRT9,NA
LAMC1,NA
LAMP1,NA
LAMTOR1,NA
LARP1,NA
LARS2,NA
LCP1,NA
LETMD1,NA
LGALS1,NA
LGALS8,NA
LGALSL,NA
LGI2,NA
LIMA1,NA
LMAN2,NA
LNP,NA
LNPEP,NA
LPCAT4,NA
LRFN1,NA
LRFN3,NA
LRFN4,NA
LRFN5,NA
LRP4,NA
LRRC4C,NA
LRRTM3,NA
LYPD1,NA
LYPLA2,NA
LYRM4,NA
M6PR,NA
MAGI1,NA
MAP1S,NA
MAP2K7,NA
MAP3K5,NA
MAP4K3,NA
MAPK8,NA
MARC2,NA
MARCH5,NA
MARCKS,NA
MARK4,NA
MAST3,NA
MAT2A,NA
MBLAC2,NA
MBOAT7,NA
MCU,NA
ME1,NA
ME3,NA
MECP2,NA
MECR,NA
MGLL,NA
MICAL3,NA
MICU1,NA
MLEC,NA
MMAA,NA
MOGS,NA
MPC1,NA
MPDZ,NA
MPO,NA
MPP7,NA
MRPS23,NA
MRPS27,NA
MT-CYTB,NA
MT-ND2,NA
MTMR1,NA
MTMR10,NA
MTX2,NA
MTX3,NA
MUL1,NA
MUT,NA
MYEF2,NA
MYH6,NA
MYO1E,NA
MYO1F,NA
MYO9A,NA
NCEH1,NA
NCKAP1L,NA
NCOA2,NA
NCSTN,NA
NDRG3,NA
NDUFA1,NA
NDUFA11,NA
NDUFAF4,NA
NDUFB1,NA
NDUFS4,NA
NECAB1,NA
NECAB2,NA
NECAP1,NA
NEDD4,NA
NEDD4L,NA
NETO2,NA
NFS1,NA
NINJ2,NA
NIT1,NA
NMRAL1,NA
NMT1,NA
NMT2,NA
NONO,NA
NOVA1,NA
NOVA2,NA
NQO1,NA
NRP2,NA
NSG1,NA
NSMF,NA
NT5C1B,NA
NT5DC3,NA
NTNG1,NA
NTPCR,NA
NUCB1,NA
NUDC,NA
NUDT21,NA
NUMB,NA
OAT,NA
OCRL,NA
OLFM3,NA
OPA3,NA
OPALIN,NA
OSBPL1A,NA
PABPC4,NA
PACSIN3,NA
PAFAH1B2,NA
PAFAH1B3,NA
PAK2,NA
PAK7,NA
PANK4,NA
PCDH9,NA
PCK2,NA
PCYOX1L,NA
PDE4A,NA
PDE8A,NA
PDK1,NA
PDK2,NA
PDP1,NA
PECI,NA
PELO,NA
PEX14,NA
PFDN6,NA
PGAP1,NA
PGBD5,NA
PGP,NA
PGRMC2,NA
PHF24,NA
PHPT1,NA
PIGK,NA
PIGS,NA
PIP4K2C,NA
PITHD1,NA
PITPNC1,NA
PITPNM3,NA
PITRM1,NA
PKM2,NA
PKN1,NA
PLCG1,NA
PLCH1,NA
PLCL1,NA
PLEKHA5,NA
PLEKHB1,NA
PLPPR2,NA
PLS3,NA
PLXNB1,NA
PLXNB2,NA
PMP2,NA
PMPCA,NA
PNKD,NA
PNPT1,NA
PON2,NA
PPFIA1,NA
PPIL1,NA
PPM1L,NA
PPME1,NA
PPP1R21,NA
PPP1R3F,NA
PPP2CB,NA
PPP2R2C,NA
PPP2R4,NA
PPP2R5B,NA
PPP2R5C,NA
PPP3R1,NA
PPP6R2,NA
PPP6R3,NA
PRDX3,NA
PREP,NA
PREPL,NA
PRKAA2,NA
PRKACA,NA
PRKAG1,NA
PRKCSH,NA
PRKCZ,NA
PRKG2,NA
PRMT1,NA
PRMT8,NA
PRPH,NA
PRPSAP2,NA
PRR36,NA
PRRT2,NA
PRRT3,NA
PRUNE,NA
PSAT1,NA
PSIP1,NA
PSMA2,NA
PSMA3,NA
PSMA5,NA
PSMA6,NA
PSMA7,NA
PSMC2,NA
PSMD13,NA
PSMD5,NA
PTCD3,NA
PTP4A1,NA
PTPN9,NA
PTPRA,NA
PTPRN,NA
PTPRT,NA
PURG,NA
PYCR1,NA
QKI,NA
RAB22A,NA
RAB23,NA
RAB24,NA
RAB27B,NA
RAB2B,NA
RAB30,NA
RAB31,NA
RAB3D,NA
RAB4A,NA
RAB7,NA
RAB9,NA
RAB9B,NA
RAC3,NA
RALGAPB,NA
RANBP1,NA
RANBP6,NA
RANBP9,NA
RAP1B,NA
RAP1GAP2,NA
RAPH1,NA
RASA3,NA
RASGRF1,NA
RBFOX2,NA
RBM14,NA
RBMX,NA
RBMXL1,NA
RBX1,NA
REEP2,NA
REPS2,NA
REV3L,NA
RFTN2,NA
RGS12,NA
RHOF,NA
RNF214,NA
RPL21,NA
RPL34,NA
RPL35A,NA
RPL36A,NA
RPL36AL,NA
RPL39,NA
RPS15,NA
RPS20,NA
RPS23,NA
RPS24,NA
RPS28,NA
RPS29,NA
RPS3A1,NA
RPS6KA2,NA
RPS6KC1,NA
RPTOR,NA
RTCA,NA
RUFY2,NA
RUVBL1,NA
RUVBL2,NA
S100A1,NA
S100A13,NA
S100A16,NA
S100A9,NA
S1PR1,NA
SAE1,NA
SBF2,NA
SCAMP1,NA
SCAMP3,NA
SCAMP5,NA
SCD5,NA
SCG2,NA
SCIN,NA
SCN1B,NA
SCN2A,NA
SCN2B,NA
SCP2,NA
SDR39U1,NA
SEC24B,NA
SEC61A1,NA
SEC61B,NA
SEMA4A,NA
SEMA4D,NA
SEMA7A,NA
SEPT10,NA
SERBP1,NA
SET,NA
SEZ6L2,NA
SF3B1,NA
SGCD,NA
SH2D5,NA
SHARPIN,NA
SHC3,NA
SHISA6,NA
SHISA9,NA
SHOC2,NA
SIGMAR1,NA
SIRT3,NA
SKP1,NA
SKP1A,NA
SLC1A1,NA
SLC22A23,NA
SLC25A10,NA
SLC25A20,NA
SLC25A25,NA
SLC25A42,NA
SLC2A13,NA
SLC2A3,NA
SLC30A1,NA
SLC30A3,NA
SLC32A1,NA
SLC38A3,NA
SLC39A10,NA
SLC39A12,NA
SLC44A2,NA
SLC4A8,NA
SLC6A1,NA
SLC6A11,NA
SLC6A17,NA
SLC7A14,NA
SLC7A5,NA
SLC8A1,NA
SLC9A1,NA
SLC9A3R1,NA
SLC9A6,NA
SLITRK1,NA
SLITRK3,NA
SMAP2,NA
SMARCA1,NA
SMC3,NA
SMPD3,NA
SMS,NA
SNAP29,NA
SNCB,NA
SNRPD3,NA
SNRPN,NA
SNTB2,NA
SNX32,NA
SNX5,NA
SOD1,NA
SORCS2,NA
SORCS3,NA
SORL1,NA
SORT1,NA
SOS1,NA
SPAG9,NA
SPATA2L,NA
SPATA5,NA
SPCS2,NA
SPIRE1,NA
SRP14,NA
SRPK2,NA
SRPR,NA
SRSF1,NA
SRSF3,NA
SSR1,NA
STK24,NA
STMN3,NA
STX16,NA
STX6,NA
STXBP5L,NA
STXBP6,NA
SUCLG2,NA
SUGT1,NA
SULT4A1,NA
SUN2,NA
SVOP,NA
SYCP1,NA
SYNJ2,NA
SYNPR,NA
SYT11,NA
SYT3,NA
TACC1,NA
TAMM41,NA
TANC1,NA
TARS,NA
TARSL2,NA
TCEAL5,NA
TCEB1,NA
TCEB2,NA
TECPR1,NA
TENM4,NA
TFRC,NA
THEM6,NA
THNSL1,NA
TIAM2,NA
TIMM9,NA
TM7SF2,NA
TM9SF2,NA
TM9SF4,NA
TMED10,NA
TMED2,NA
TMED4,NA
TMED9,NA
TMEM30A,NA
TMEM43,NA
TMEM63B,NA
TMEM65,NA
TMEM85,NA
TMX1,NA
TMX2,NA
TNPO1,NA
TOM1,NA
TOMM40L,NA
TOP2B,NA
TPBG,NA
TPD52L2,NA
TPP2,NA
TPR,NA
TPRGL,NA
TRANK1,NA
TRAPPC6B,NA
TRIM37,NA
TRIM46,NA
TRIP12,NA
TRPV2,NA
TSC22D4,NA
TSPAN13,NA
TSPAN2,NA
TSPAN7,NA
TST,NA
TTC9B,NA
TTYH3,NA
TUBB,NA
TUBB4,NA
TUBB4A,NA
TUBG2,NA
TUSC3,NA
UBA5,NA
UBA52,NA
UBA6,NA
UBE3B,NA
UBE4A,NA
UBQLN2,NA
UGGT1,NA
UGT8,NA
ULK3,NA
USP7,NA
USP8,NA
VAMP1,NA
VAMP4,NA
VAMP7,NA
VAT1L,NA
VBP1,NA
VCAM1,NA
VPS25,NA
VPS28,NA
VPS33B,NA
VPS50,NA
WASF2,NA
WASHC5,NA
WDR91,NA
WNK1,NA
XKR4,NA
YBX1,NA
YJEFN3,NA
ZDHHC5,NA
ZFR,NA
ZFYVE1,NA
ZYG11B,NA
0610009B22RIK,NA
0610011F06RIK,NA
0610037L13RIK,NA
1500005I02Rik,NA
1700009N14RIK,NA
1700021F05RIK,NA
1700037H04RIK,NA
1700047I17RIK2,NA
2010107G23RIK,NA
2010300C02RIK,NA
2310035C23RIK,NA
2310061I04RIK,NA
2410015M20RIK,NA
2610301B20RIK,NA
2610507B11RIK,NA
2700060E02RIK,NA
2900011O08RIK,NA
2900026A02RIK,NA
37500,NA
37865,NA
38231,NA
38412,NA
38596,NA
38961,NA
39326,NA
39692,NA
40057,NA
40787,NA
4931409K22RIK,NA
4932438A13RIK,NA
4933434E20RIK,NA
6330403A02RIK,NA
6430548M08RIK,NA
9530053A07RIK,NA
A830010M20RIK,NA
AAAS,NA
AAMDC,NA
AARS2,NA
AARSD1,NA
ABCA13,NA
ABCA3,NA
ABCA4,NA
ABCA5,NA
ABCA6,NA
ABCA7,NA
ABCA8A,NA
ABCB1,NA
ABCB11,NA
ABCB1A,NA
ABCB1B,NA
ABCB6,NA
ABCB9,NA
ABCC1,NA
ABCC12,NA
ABCG2,NA
ABHD11,NA
ABHD17A,NA
ABL2,NA
ACAA1B,NA
ACAD10,NA
ACADL,NA
ACAN,NA
ACAP2,NA
ACAT3,NA
ACE,NA
ACIN1,NA
ACOT10,NA
ACOT11,NA
ACOT2,NA
ACOX1,NA
ACSS1,NA
ACTA2,NA
ACTG1,NA
ACTG2,NA
ACTL6B,NA
ACVR1B,NA
ACYP1,NA
ADAM9,NA
ADAMTS16,NA
ADAMTS18,NA
ADAP2,NA
ADCK3,NA
ADCY4,NA
ADCY6,NA
ADGRA1,NA
ADGRA2,NA
ADGRA3,NA
ADGRB3,NA
ADGRG1,NA
ADGRV1,NA
ADH5,NA
ADK,NA
ADO,NA
ADORA1,NA
ADORA2A,NA
ADPRH,NA
ADPRHL2,NA
ADRA2A,NA
ADRA2C,NA
ADRB1,NA
ADRGB3,NA
ADRM1,NA
ADSSL1,NA
AFAP1,NA
AFDN,NA
AGBL1,NA
AGER,NA
AGPAT1,NA
AGPS,NA
AGTPBP1,NA
AI314180,NA
AIMP1,NA
AIMP2,NA
AJAP1,NA
AJUBA,NA
AK157302,NA
AKAP10,NA
AKNA,NA
AKR1B1,NA
AKR1B10,NA
AKR1B3,NA
AKR1E1,NA
AKR1E2,NA
AKT2,NA
AKT3,NA
AL049629.2,NA
ALAD,NA
ALDH18A1,NA
ALDH1B1,NA
ALDH9A1,NA
ALDOART1,NA
ALDOB,NA
ALG5,NA
ALMS1,NA
ALPK2,NA
ALPL,NA
ALYREF2,NA
AMER2,NA
AMOTL2,NA
ANAPC1,NA
ANK,NA
ANKH,NA
ANKIB1,NA
ANKMY2,NA
ANKRD17,NA
ANKRD44,NA
ANKRD52,NA
ANKS1,NA
ANKS1A,NA
ANLN,NA
ANO2,NA
ANO8,NA
ANP32A,NA
ANP32B,NA
ANP32E,NA
ANXA8,NA
AP3M1,NA
AP4E1,NA
APAF1,NA
APEX1,NA
APLP1,NA
APLP2,NA
APOA1,NA
APOA1BP,NA
APOB,NA
APOPT1,NA
ARAP1,NA
ARHGAP11A,NA
ARHGAP12,NA
ARHGAP29,NA
ARHGAP31,NA
ARHGAP33,NA
ARHGAP39,NA
ARHGAP5,NA
ARHGDIB,NA
ARHGEF1,NA
ARHGEF10L,NA
ARHGEF11,NA
ARHGEF17,NA
ARHGEF18,NA
ARHGEF4,NA
ARID3B,NA
ARID4B,NA
ARL2,NA
ARL6,NA
ARL6IP,NA
ARMC4,NA
ARMC6,NA
ARNT,NA
ARPP19,NA
ARRB2,NA
ASAH1,NA
ASAH2,NA
ASB7,NA
ASH1L,NA
ASIC2,NA
ASMTL,NA
ASPA,NA
ASPH,NA
ASPHD2,NA
ASPM,NA
ASS1,NA
ASXL1,NA
ASXL3,NA
ATAD2,NA
ATAD3,NA
ATAD5,NA
ATL3,NA
ATM,NA
ATOX1,NA
ATP11A,NA
ATP11C,NA
ATP2A3,NA
ATP2C2,NA
ATP5F1B,NA
ATP5ME,NA
ATP5MG,NA
ATP5MPL,NA
ATP5PB,NA
