postsyn_consensus_list,presyn_consensus,ER_consensus,Golgi_consensus,mito_consensus,cytoskeleton_consensus,cytoplasm_consensus,nucleus_consensus
LSAMP,NA,NA,NA,NA,NA,SPATA13,CDKN2C
LZTS1,NA,NA,NA,NA,NA,SPATA24,CDT1
MACROD1,NA,NA,NA,NA,NA,SPATS2,CDX2
MAG,NA,NA,NA,NA,NA,SPATS2L,CDYL
MAP1LC3A,NA,NA,NA,NA,NA,SPC25,CEBPA
MAP2K2,NA,NA,NA,NA,NA,SPG11,CEBPB
MARK1,NA,NA,NA,NA,NA,SPG21,CEBPD
MCCC1,NA,NA,NA,NA,NA,SPIN4,CEBPE
MCCC2,NA,NA,NA,NA,NA,SPIRE1,CEBPG
MFF,NA,NA,NA,NA,NA,SPR,CEBPZ
MFN2,NA,NA,NA,NA,NA,SPRY4,CECR2
MOG,NA,NA,NA,NA,NA,SQSTM1,CELF1
MPRIP,NA,NA,NA,NA,NA,SRM,CELF3
MRPS36,NA,NA,NA,NA,NA,SRP68,CENPA
MTDH,NA,NA,NA,NA,NA,SRPK1,CENPB
MTHFD1,NA,NA,NA,NA,NA,SRPK2,CENPC1
MTX1,NA,NA,NA,NA,NA,SS18L1,CENPF
MYH10,NA,NA,NA,NA,NA,SSSCA1,CENPH
MYH14,NA,NA,NA,NA,NA,SSTR2,CENPI
MYO1D,NA,NA,NA,NA,NA,SSU72,CENPJ
NAP1L4,NA,NA,NA,NA,NA,STARD10,CENPN
NCALD,NA,NA,NA,NA,NA,STAT5A,CENPO
NCAM1,NA,NA,NA,NA,NA,STAT6,CENPP
NDUFA13,NA,NA,NA,NA,NA,STAU1,CENPQ
NDUFA2,NA,NA,NA,NA,NA,STK16,CENPT
NDUFB4,NA,NA,NA,NA,NA,STK24,CENPW
NDUFB6,NA,NA,NA,NA,NA,STK36,CERS5
NDUFB7,NA,NA,NA,NA,NA,STK38,CFAP20
NDUFB8,NA,NA,NA,NA,NA,STK40,CFAP45
NDUFB9,NA,NA,NA,NA,NA,STRADA,CGRRF1
NDUFS6,NA,NA,NA,NA,NA,STRADB,CHD2
NEBL,NA,NA,NA,NA,NA,STRIP1,CHD5
NGEF,NA,NA,NA,NA,NA,STRIP2,CHD6
NPEPPS,NA,NA,NA,NA,NA,STXBP2,CHEK1
NRCAM,NA,NA,NA,NA,NA,SUDS3,CHEK2
NRXN3,NA,NA,NA,NA,NA,SUGT1,CHMP1B
OGDHL,NA,NA,NA,NA,NA,SULT2A1,CHMP7
OGT,NA,NA,NA,NA,NA,SULT2B1,CHRAC1
OLFM1,NA,NA,NA,NA,NA,SYTL4,CHTF18
OPCML,NA,NA,NA,NA,NA,TAB2,CHTF8
OXR1,NA,NA,NA,NA,NA,TACC2,CHTOP
PADI2,NA,NA,NA,NA,NA,TACC3,CHUK
PAFAH1B1,NA,NA,NA,NA,NA,TANK,CIART
PAICS,NA,NA,NA,NA,NA,TARS,CIB1
PALM2,NA,NA,NA,NA,NA,TBC1D13,CIC
PARK7,NA,NA,NA,NA,NA,TBC1D2,CIITA
PDCD6IP,NA,NA,NA,NA,NA,TBC1D30,CIPC
PDHX,NA,NA,NA,NA,NA,TBC1D4,CIR1
PDPK1,NA,NA,NA,NA,NA,TBCC,CITED1
PEX11B,NA,NA,NA,NA,NA,TCHP,CITED2
PFN1,NA,NA,NA,NA,NA,TDRP,CIZ1
PFN2,NA,NA,NA,NA,NA,TELO2,CLASRP
PGK1,NA,NA,NA,NA,NA,TES,CLCN7
PGRMC1,NA,NA,NA,NA,NA,TFE3,CLIC3
PHACTR1,NA,NA,NA,NA,NA,TGS1,CLK1
PHYHIP,NA,NA,NA,NA,NA,THOC7,CLK2
PI4KA,NA,NA,NA,NA,NA,THRA,CLOCK
PICALM,NA,NA,NA,NA,NA,THSD1,CLP1
PIP4K2A,NA,NA,NA,NA,NA,THUMPD3,CLUAP1
PKM,NA,NA,NA,NA,NA,TIGAR,CMAS
PLD3,NA,NA,NA,NA,NA,TIPRL,CMSS1
PLXNA1,NA,NA,NA,NA,NA,TMEM266,CMTM3
PLXNA4,NA,NA,NA,NA,NA,TMEM97,CMTM8
POR,NA,NA,NA,NA,NA,TMSB4X,CMTR1
PPP1CA,NA,NA,NA,NA,NA,TOB2,CNOT10
PPP2R5D,NA,NA,NA,NA,NA,TOM1,CNOT11
PREX1,NA,NA,NA,NA,NA,TPP2,CNOT2
PRNP,NA,NA,NA,NA,NA,TPRKB,CNOT7
PRR7,NA,NA,NA,NA,NA,TRAF2,COIL
PSMC1,NA,NA,NA,NA,NA,TRAF5,COMMD1
PSMD11,NA,NA,NA,NA,NA,TRAPPC2L,COMMD4
PSMD2,NA,NA,NA,NA,NA,TRDN,COMMD9
PTK2,NA,NA,NA,NA,NA,TRIM11,COPRS
PTPN11,NA,NA,NA,NA,NA,TRIM16,COPS7A
PTPN23,NA,NA,NA,NA,NA,TRIM25,COPS7B
PTPRD,NA,NA,NA,NA,NA,TRIM39,COPS8
PYGM,NA,NA,NA,NA,NA,TRIM45,CPD
RAB11B,NA,NA,NA,NA,NA,TRIM47,CPEB1
RAB12,NA,NA,NA,NA,NA,TRIM50,CPEB3
RAB18,NA,NA,NA,NA,NA,TRIM68,CPEB4
RAB21,NA,NA,NA,NA,NA,TRIP6,CPSF3
RAB35,NA,NA,NA,NA,NA,TRUB2,CPSF4
RAB3A,NA,NA,NA,NA,NA,TSTD1,CPSF7
RAB3GAP1,NA,NA,NA,NA,NA,TTBK1,CRBN
RAB3GAP2,NA,NA,NA,NA,NA,TTF2,CRCP
RANGAP1,NA,NA,NA,NA,NA,TTLL12,CREB3L4
RAP1GAP,NA,NA,NA,NA,NA,TTLL5,CREB5
RAP1GDS1,NA,NA,NA,NA,NA,TUBD1,CREBBP
RASAL2,NA,NA,NA,NA,NA,TUBGCP5,CREBRF
RASGRF2,NA,NA,NA,NA,NA,TXLNG,CREM
RHOA,NA,NA,NA,NA,NA,TXNDC17,CRIP3
RIMBP2,NA,NA,NA,NA,NA,TXNDC9,CRIPT
RIMS1,NA,NA,NA,NA,NA,TXNRD1,CRNKL1
ROGDI,NA,NA,NA,NA,NA,UAP1,CRTC1
RPL10A,NA,NA,NA,NA,NA,UBA3,CRTC2
RPL13A,NA,NA,NA,NA,NA,UBA52,CRTC3
RPL18,NA,NA,NA,NA,NA,UBA6,CRY1
RPL19,NA,NA,NA,NA,NA,UBAC1,CRY2
RPL22,NA,NA,NA,NA,NA,UBAP1,CSDC2
RPL27,NA,NA,NA,NA,NA,UBE2I,CSRNP1
RPL31,NA,NA,NA,NA,NA,UBE2K,CSRNP2
RPS17,NA,NA,NA,NA,NA,UBE2L3,CSRNP3
RPS2,NA,NA,NA,NA,NA,UBQLN2,CTDP1
RPS6,NA,NA,NA,NA,NA,UGDH,CTDSP1
RPSA,NA,NA,NA,NA,NA,ULBP1,CTDSPL2
SACM1L,NA,NA,NA,NA,NA,ULK1,CTNNBL1
SARS,NA,NA,NA,NA,NA,UNC13D,CUL2
SCRIB,NA,NA,NA,NA,NA,UNC45B,CUL4B
SCRN1,NA,NA,NA,NA,NA,UNKL,CWC22
SFPQ,NA,NA,NA,NA,NA,UPF2,CWC25
SFXN1,NA,NA,NA,NA,NA,UPF3B,CWC27
SH3GL1,NA,NA,NA,NA,NA,URGCP,CXXC5
SH3GL3,NA,NA,NA,NA,NA,UROC1,CYB5RL
SH3GLB2,NA,NA,NA,NA,NA,UROD,CYGB
SH3KBP1,NA,NA,NA,NA,NA,USH1C,CYHR1
SHMT2,NA,NA,NA,NA,NA,USP10,DACH1
SIPA1L1,NA,NA,NA,NA,NA,USP18,DACT1
SLC12A2,NA,NA,NA,NA,NA,USP21,DAPK3
SLC25A22,NA,NA,NA,NA,NA,USP25,DAXX
SLC27A1,NA,NA,NA,NA,NA,VPS4B,DAZAP1
SLC2A1,NA,NA,NA,NA,NA,WARS,DAZAP2
SLC3A2,NA,NA,NA,NA,NA,WBP2,DBF4
SLC4A1,NA,NA,NA,NA,NA,WDFY3,DBR1
SLC8A2,NA,NA,NA,NA,NA,WDR26,DCAF11
SNCA,NA,NA,NA,NA,NA,WDR34,DCAF17
SNX1,NA,NA,NA,NA,NA,WDR6,DCAF6
SNX4,NA,NA,NA,NA,NA,WDR61,DCAF7
SNX6,NA,NA,NA,NA,NA,WDR62,DCAF8
SPECC1,NA,NA,NA,NA,NA,WDR77,DCK
SPTBN4,NA,NA,NA,NA,NA,WEE2,DCLRE1A
SRGAP3,NA,NA,NA,NA,NA,WHAMM,DCLRE1B
SRI,NA,NA,NA,NA,NA,WNK1,DCLRE1C
SRR,NA,NA,NA,NA,NA,XDH,DCP2
SSBP1,NA,NA,NA,NA,NA,XIAP,DCPS
STK32C,NA,NA,NA,NA,NA,XPNPEP1,DCTN5
STK39,NA,NA,NA,NA,NA,XPO4,DCUN1D1
STRAP,NA,NA,NA,NA,NA,XRN1,DCUN1D4
STX7,NA,NA,NA,NA,NA,YBX1,DDB2
SYNCRIP,NA,NA,NA,NA,NA,YBX3,DDIT3
TAOK1,NA,NA,NA,NA,NA,YOD1,DDN
TBC1D24,NA,NA,NA,NA,NA,YTHDF2,DDX10
TBCB,NA,NA,NA,NA,NA,ZBTB33,DDX11
TBCD,NA,NA,NA,NA,NA,ZBTB48,DDX23
TBK1,NA,NA,NA,NA,NA,ZC3H15,DDX39
THY1,NA,NA,NA,NA,NA,ZC3HAV1,DDX46
TIMM50,NA,NA,NA,NA,NA,ZC3HAV1L,DDX55
TJP1,NA,NA,NA,NA,NA,ZCCHC7,DDX56
TMEM33,NA,NA,NA,NA,NA,ZFYVE16,DDX59
TMOD2,NA,NA,NA,NA,NA,ZFYVE27,DEAF1
TNC,NA,NA,NA,NA,NA,ZFYVE28,DEDD2
TOM1L2,NA,NA,NA,NA,NA,ZFYVE9,DEF6
TRAP1,NA,NA,NA,NA,NA,ZWINT,DET1
TRAPPC3,NA,NA,NA,NA,NA,NA,DFFB
TRIM2,NA,NA,NA,NA,NA,NA,DGCR8
TSC1,NA,NA,NA,NA,NA,NA,DHX16
TSC2,NA,NA,NA,NA,NA,NA,DHX35
TSG101,NA,NA,NA,NA,NA,NA,DHX38
TUBA1A,NA,NA,NA,NA,NA,NA,DHX9
TUBA4A,NA,NA,NA,NA,NA,NA,DIEXF
TUBB2B,NA,NA,NA,NA,NA,NA,DIMT1
TUBB3,NA,NA,NA,NA,NA,NA,DIP2A
TUBB6,NA,NA,NA,NA,NA,NA,DLC1
TUFM,NA,NA,NA,NA,NA,NA,DLX1
UBL4A,NA,NA,NA,NA,NA,NA,DLX2
UQCRFS1,NA,NA,NA,NA,NA,NA,DLX4
USO1,NA,NA,NA,NA,NA,NA,DLX6
USP14,NA,NA,NA,NA,NA,NA,DMC1
USP5,NA,NA,NA,NA,NA,NA,DMTF1
USP9X,NA,NA,NA,NA,NA,NA,DNAJB5
VAC14,NA,NA,NA,NA,NA,NA,DNAJC7
VAMP3,NA,NA,NA,NA,NA,NA,DNAJC8
VARS,NA,NA,NA,NA,NA,NA,DNAJC9
VCPIP1,NA,NA,NA,NA,NA,NA,DNMT3L
VDAC2,NA,NA,NA,NA,NA,NA,DNPH1
VGF,NA,NA,NA,NA,NA,NA,DNTT
VPS11,NA,NA,NA,NA,NA,NA,DOK7
VPS29,NA,NA,NA,NA,NA,NA,DONSON
VPS52,NA,NA,NA,NA,NA,NA,DOT1L
VPS53,NA,NA,NA,NA,NA,NA,DPEP1
VTA1,NA,NA,NA,NA,NA,NA,DPF1
WASF3,NA,NA,NA,NA,NA,NA,DPF3
WASL,NA,NA,NA,NA,NA,NA,DPH1
YES1,NA,NA,NA,NA,NA,NA,DPH3
ABCF3,NA,NA,NA,NA,NA,NA,DPH6
ACADVL,NA,NA,NA,NA,NA,NA,DPPA4
ACBD5,NA,NA,NA,NA,NA,NA,DPY30
ACOT9,NA,NA,NA,NA,NA,NA,DROSHA
ACSBG1,NA,NA,NA,NA,NA,NA,DSCC1
ACSL4,NA,NA,NA,NA,NA,NA,DSE
ACTR1B,NA,NA,NA,NA,NA,NA,DSN1
ACTR3B,NA,NA,NA,NA,NA,NA,DTL
ACYP2,NA,NA,NA,NA,NA,NA,DTX2
ADAM11,NA,NA,NA,NA,NA,NA,DUSP1
ADCY1,NA,NA,NA,NA,NA,NA,DUSP10
AGAP1,NA,NA,NA,NA,NA,NA,DUSP11
AGAP3,NA,NA,NA,NA,NA,NA,DUSP12
AHCY,NA,NA,NA,NA,NA,NA,DUSP14
AIP,NA,NA,NA,NA,NA,NA,DUSP16
AK5,NA,NA,NA,NA,NA,NA,DUSP18
AKR1C1,NA,NA,NA,NA,NA,NA,DUSP2
ALDH2,NA,NA,NA,NA,NA,NA,DUSP22
AMPD2,NA,NA,NA,NA,NA,NA,DUSP23
ANXA4,NA,NA,NA,NA,NA,NA,DUSP26
AP1M1,NA,NA,NA,NA,NA,NA,DUSP4
AP1S1,NA,NA,NA,NA,NA,NA,DUT
AP3S1,NA,NA,NA,NA,NA,NA,DYRK1B
APOE,NA,NA,NA,NA,NA,NA,DYRK2
APOO,NA,NA,NA,NA,NA,NA,DYRK3
APOOL,NA,NA,NA,NA,NA,NA,E2F1
APP,NA,NA,NA,NA,NA,NA,E2F3
AQP1,NA,NA,NA,NA,NA,NA,E2F4
AQP4,NA,NA,NA,NA,NA,NA,E2F5
ARCN1,NA,NA,NA,NA,NA,NA,E2F6
ARF6,NA,NA,NA,NA,NA,NA,E2F7
ARFGAP1,NA,NA,NA,NA,NA,NA,E2F8
ARFGAP2,NA,NA,NA,NA,NA,NA,E4F1
ARHGAP21,NA,NA,NA,NA,NA,NA,EAF1
ARHGAP26,NA,NA,NA,NA,NA,NA,EBF1
ARHGAP32,NA,NA,NA,NA,NA,NA,EBF3
ARHGAP44,NA,NA,NA,NA,NA,NA,ECT2
ARL8B,NA,NA,NA,NA,NA,NA,EDRF1
ARPC1A,NA,NA,NA,NA,NA,NA,EEFSEC
ARRB1,NA,NA,NA,NA,NA,NA,EGLN2
ASTN1,NA,NA,NA,NA,NA,NA,EGR1
ATP12A,NA,NA,NA,NA,NA,NA,EGR2
ATP1A4,NA,NA,NA,NA,NA,NA,EHF
ATP5D,NA,NA,NA,NA,NA,NA,EID1
ATP5I,NA,NA,NA,NA,NA,NA,EID2
ATP6V1G1,NA,NA,NA,NA,NA,NA,EID3
ATPIF1,NA,NA,NA,NA,NA,NA,EIF1AD
ATXN10,NA,NA,NA,NA,NA,NA,EIF3L
BDH1,NA,NA,NA,NA,NA,NA,EIF6
BLVRB,NA,NA,NA,NA,NA,NA,ELAC1
BRSK2,NA,NA,NA,NA,NA,NA,ELF1
BSG,NA,NA,NA,NA,NA,NA,ELF2
CACNA1E,NA,NA,NA,NA,NA,NA,ELF3
CACNA2D2,NA,NA,NA,NA,NA,NA,ELF4
CACNA2D3,NA,NA,NA,NA,NA,NA,ELF5
CACNB4,NA,NA,NA,NA,NA,NA,ELK3
CACNG2,NA,NA,NA,NA,NA,NA,ELK4
CADPS2,NA,NA,NA,NA,NA,NA,ELL2
CALCOCO1,NA,NA,NA,NA,NA,NA,ELL3
CALR,NA,NA,NA,NA,NA,NA,ELMSAN1
CAMK1D,NA,NA,NA,NA,NA,NA,ELP4
CANX,NA,NA,NA,NA,NA,NA,EMP2
CC2D1A,NA,NA,NA,NA,NA,NA,EMSY
CCDC127,NA,NA,NA,NA,NA,NA,EMX1
CD59,NA,NA,NA,NA,NA,NA,EMX2
CD9,NA,NA,NA,NA,NA,NA,EN1
CDC42BPA,NA,NA,NA,NA,NA,NA,EN2
CELF2,NA,NA,NA,NA,NA,NA,ENOPH1
CHL1,NA,NA,NA,NA,NA,NA,ENTPD7
CLASP1,NA,NA,NA,NA,NA,NA,EP400
CMPK1,NA,NA,NA,NA,NA,NA,EPAS1
COASY,NA,NA,NA,NA,NA,NA,EPC2
COPS3,NA,NA,NA,NA,NA,NA,EPHA6
COPS4,NA,NA,NA,NA,NA,NA,EPM2A
CORO2A,NA,NA,NA,NA,NA,NA,ERCC1
COX7A2L,NA,NA,NA,NA,NA,NA,ERCC2
CRTAC1,NA,NA,NA,NA,NA,NA,ERCC4
CRYZ,NA,NA,NA,NA,NA,NA,ERCC5
CSE1L,NA,NA,NA,NA,NA,NA,ERCC6
CSNK1E,NA,NA,NA,NA,NA,NA,ERCC8
CSNK2A2,NA,NA,NA,NA,NA,NA,ERF
CSRP1,NA,NA,NA,NA,NA,NA,ERG
CST3,NA,NA,NA,NA,NA,NA,ERGIC2
CTNNA1,NA,NA,NA,NA,NA,NA,ERH
CTTN,NA,NA,NA,NA,NA,NA,ESPL1
CTTNBP2,NA,NA,NA,NA,NA,NA,ESR2
CUL3,NA,NA,NA,NA,NA,NA,ESRP1
CYB5B,NA,NA,NA,NA,NA,NA,ESRP2
DAAM2,NA,NA,NA,NA,NA,NA,ESRRA
DBT,NA,NA,NA,NA,NA,NA,ESRRB
DDAH1,NA,NA,NA,NA,NA,NA,ESRRG
DDRGK1,NA,NA,NA,NA,NA,NA,ESX1
DDX5,NA,NA,NA,NA,NA,NA,ETAA1
DES,NA,NA,NA,NA,NA,NA,ETS1
DHRS7B,NA,NA,NA,NA,NA,NA,ETS2
DNAJC19,NA,NA,NA,NA,NA,NA,ETV1
DOCK4,NA,NA,NA,NA,NA,NA,ETV3
DOCK9,NA,NA,NA,NA,NA,NA,ETV4
DPM1,NA,NA,NA,NA,NA,NA,ETV5
DPYSL3,NA,NA,NA,NA,NA,NA,ETV6
DPYSL5,NA,NA,NA,NA,NA,NA,EVX1
DSP,NA,NA,NA,NA,NA,NA,EXO1
DYNLL1,NA,NA,NA,NA,NA,NA,EXO5
EEA1,NA,NA,NA,NA,NA,NA,EXOSC1
EEF1B2,NA,NA,NA,NA,NA,NA,EXOSC8
EEF1D,NA,NA,NA,NA,NA,NA,EYA1
EFHD2,NA,NA,NA,NA,NA,NA,EYA3
EFR3A,NA,NA,NA,NA,NA,NA,EYA4
EIF2S1,NA,NA,NA,NA,NA,NA,EZH1
EIF3A,NA,NA,NA,NA,NA,NA,FAAP100
EIF3C,NA,NA,NA,NA,NA,NA,FAAP20
EMC2,NA,NA,NA,NA,NA,NA,FAAP24
EMD,NA,NA,NA,NA,NA,NA,FAF1
EPB41,NA,NA,NA,NA,NA,NA,FAM107A
ETFB,NA,NA,NA,NA,NA,NA,FAM111A
FAAH,NA,NA,NA,NA,NA,NA,FAM120B
FABP7,NA,NA,NA,NA,NA,NA,FAM120C
FAM131B,NA,NA,NA,NA,NA,NA,FAM124B
FAM171A1,NA,NA,NA,NA,NA,NA,FAM169A
FAM171A2,NA,NA,NA,NA,NA,NA,FAM172A
FAM171B,NA,NA,NA,NA,NA,NA,FAM192A
FAM49B,NA,NA,NA,NA,NA,NA,FAM193B
FH,NA,NA,NA,NA,NA,NA,FAM206A
FIBP,NA,NA,NA,NA,NA,NA,FAM207A
FIS1,NA,NA,NA,NA,NA,NA,FAM214B
FKBP3,NA,NA,NA,NA,NA,NA,FAM217B
FLII,NA,NA,NA,NA,NA,NA,FAM222B
FLNA,NA,NA,NA,NA,NA,NA,FAM32A
FMN2,NA,NA,NA,NA,NA,NA,FAM50A
FMNL1,NA,NA,NA,NA,NA,NA,FAM50B
FTH1,NA,NA,NA,NA,NA,NA,FAM76A
FUS,NA,NA,NA,NA,NA,NA,FAM98B
GABRA4,NA,NA,NA,NA,NA,NA,FAN1
GABRB2,NA,NA,NA,NA,NA,NA,FANCA
GABRG2,NA,NA,NA,NA,NA,NA,FANCC
GAK,NA,NA,NA,NA,NA,NA,FANCE
GAPVD1,NA,NA,NA,NA,NA,NA,FANCL
GAS7,NA,NA,NA,NA,NA,NA,FANCM
GBAS,NA,NA,NA,NA,NA,NA,FANK1
GLG1,NA,NA,NA,NA,NA,NA,FBLL1
GLIPR2,NA,NA,NA,NA,NA,NA,FBP2
GNA14,NA,NA,NA,NA,NA,NA,FBXL17
GNAI3,NA,NA,NA,NA,NA,NA,FBXL3
GNG2,NA,NA,NA,NA,NA,NA,FBXL4
GOT1,NA,NA,NA,NA,NA,NA,FBXO11
GPC1,NA,NA,NA,NA,NA,NA,FBXO3
GPRC5B,NA,NA,NA,NA,NA,NA,FBXO38
GPSM1,NA,NA,NA,NA,NA,NA,FBXO5
GPX1,NA,NA,NA,NA,NA,NA,FBXW11
GRIK2,NA,NA,NA,NA,NA,NA,FBXW2
GRIPAP1,NA,NA,NA,NA,NA,NA,FBXW7
GSK3A,NA,NA,NA,NA,NA,NA,FCHO1
GSTK1,NA,NA,NA,NA,NA,NA,FEM1B
HAPLN2,NA,NA,NA,NA,NA,NA,FEM1C
HCN2,NA,NA,NA,NA,NA,NA,FEN1
HECW1,NA,NA,NA,NA,NA,NA,FERMT2
HECW2,NA,NA,NA,NA,NA,NA,FEV
HGS,NA,NA,NA,NA,NA,NA,FEZF1
HNRNPA2B1,NA,NA,NA,NA,NA,NA,FGF1
HOMER3,NA,NA,NA,NA,NA,NA,FGF14
HOOK3,NA,NA,NA,NA,NA,NA,FGF2
HRAS,NA,NA,NA,NA,NA,NA,FGFR1
HSDL2,NA,NA,NA,NA,NA,NA,FHIT
HSPA1B,NA,NA,NA,NA,NA,NA,FHL3
HSPA1L,NA,NA,NA,NA,NA,NA,FIGN
HUWE1,NA,NA,NA,NA,NA,NA,FIP1L1
IDH3B,NA,NA,NA,NA,NA,NA,FIZ1
IPO7,NA,NA,NA,NA,NA,NA,FKBP5
ITPKA,NA,NA,NA,NA,NA,NA,FLI1
KCNA1,NA,NA,NA,NA,NA,NA,FLT4
KCNA4,NA,NA,NA,NA,NA,NA,FLYWCH1
KCNAB1,NA,NA,NA,NA,NA,NA,FMN1
KCNJ10,NA,NA,NA,NA,NA,NA,FNBP4
KCNQ2,NA,NA,NA,NA,NA,NA,FOLR1
KCTD12,NA,NA,NA,NA,NA,NA,FOS
KIAA0513,NA,NA,NA,NA,NA,NA,FOSB
KIAA1217,NA,NA,NA,NA,NA,NA,FOSL2
KIAA1468,NA,NA,NA,NA,NA,NA,FOXA1
KIAA1549,NA,NA,NA,NA,NA,NA,FOXA2
KIF1A,NA,NA,NA,NA,NA,NA,FOXA3
KIF3A,NA,NA,NA,NA,NA,NA,FOXB1
KIF5A,NA,NA,NA,NA,NA,NA,FOXC1
KLC1,NA,NA,NA,NA,NA,NA,FOXC2
KPNA1,NA,NA,NA,NA,NA,NA,FOXD4
KTN1,NA,NA,NA,NA,NA,NA,FOXF1
LGI3,NA,NA,NA,NA,NA,NA,FOXJ2
LIMCH1,NA,NA,NA,NA,NA,NA,FOXJ3
LIN7C,NA,NA,NA,NA,NA,NA,FOXK1
LMNB2,NA,NA,NA,NA,NA,NA,FOXK2
LONP1,NA,NA,NA,NA,NA,NA,FOXL2
LPHN1,NA,NA,NA,NA,NA,NA,FOXM1
LPHN3,NA,NA,NA,NA,NA,NA,FOXN2
LRP1,NA,NA,NA,NA,NA,NA,FOXN3
LRRC57,NA,NA,NA,NA,NA,NA,FOXN4
LYN,NA,NA,NA,NA,NA,NA,FOXO3
MADD,NA,NA,NA,NA,NA,NA,FOXO4
MAP6D1,NA,NA,NA,NA,NA,NA,FOXP1
MAP7D1,NA,NA,NA,NA,NA,NA,FOXP2
MAPK10,NA,NA,NA,NA,NA,NA,FOXP3
MARCKSL1,NA,NA,NA,NA,NA,NA,FOXP4
MARK2,NA,NA,NA,NA,NA,NA,FOXQ1
MARS,NA,NA,NA,NA,NA,NA,FOXS1
MDH1,NA,NA,NA,NA,NA,NA,FSBP
MLLT4,NA,NA,NA,NA,NA,NA,FSTL3
MPP1,NA,NA,NA,NA,NA,NA,FUBP3
MRAS,NA,NA,NA,NA,NA,NA,FYTTD1
MTHFD1L,NA,NA,NA,NA,NA,NA,FZD10
MYCBP2,NA,NA,NA,NA,NA,NA,FZR1
MYH11,NA,NA,NA,NA,NA,NA,GABPB1
MYL6B,NA,NA,NA,NA,NA,NA,GABPB2
MYO1B,NA,NA,NA,NA,NA,NA,GADD45A
MYO1C,NA,NA,NA,NA,NA,NA,GADD45B
NCK2,NA,NA,NA,NA,NA,NA,GADD45G
NDRG1,NA,NA,NA,NA,NA,NA,GAR1
NDRG2,NA,NA,NA,NA,NA,NA,GATA2
NDUFA12,NA,NA,NA,NA,NA,NA,GATA3
NDUFA8,NA,NA,NA,NA,NA,NA,GATA4
NDUFC2,NA,NA,NA,NA,NA,NA,GATA5
NDUFS8,NA,NA,NA,NA,NA,NA,GATA6
NLGN3,NA,NA,NA,NA,NA,NA,GATAD1
NME3,NA,NA,NA,NA,NA,NA,GBP2
NOMO1,NA,NA,NA,NA,NA,NA,GBX2
NOS1,NA,NA,NA,NA,NA,NA,GCFC2
NPM1,NA,NA,NA,NA,NA,NA,GCH1
NRGN,NA,NA,NA,NA,NA,NA,GCHFR
NSFL1C,NA,NA,NA,NA,NA,NA,GEMIN2
NTM,NA,NA,NA,NA,NA,NA,GEMIN6
OLA1,NA,NA,NA,NA,NA,NA,GEN1
OTUB1,NA,NA,NA,NA,NA,NA,GID8
PA2G4,NA,NA,NA,NA,NA,NA,GINS1
PBXIP1,NA,NA,NA,NA,NA,NA,GINS2
PC,NA,NA,NA,NA,NA,NA,GINS3
PCCA,NA,NA,NA,NA,NA,NA,GINS4
PCDH1,NA,NA,NA,NA,NA,NA,GLE1
PCMT1,NA,NA,NA,NA,NA,NA,GLI2
PDE4D,NA,NA,NA,NA,NA,NA,GLIS2
PDIA6,NA,NA,NA,NA,NA,NA,GLIS3
PDK3,NA,NA,NA,NA,NA,NA,GLRX2
PEA15,NA,NA,NA,NA,NA,NA,GM29609
PEBP1,NA,NA,NA,NA,NA,NA,GMEB1
PEX5L,NA,NA,NA,NA,NA,NA,GMEB2
PGM2L1,NA,NA,NA,NA,NA,NA,GMNN
PITPNA,NA,NA,NA,NA,NA,NA,GNL3L
PITPNM1,NA,NA,NA,NA,NA,NA,GON4L
PLCB4,NA,NA,NA,NA,NA,NA,GPATCH2
PLCD3,NA,NA,NA,NA,NA,NA,GPATCH3
PLEKHA6,NA,NA,NA,NA,NA,NA,GPBP1L1
PLXNA2,NA,NA,NA,NA,NA,NA,GPKOW
PMVK,NA,NA,NA,NA,NA,NA,GPS2
PNPLA6,NA,NA,NA,NA,NA,NA,GRHL1
PPAP2B,NA,NA,NA,NA,NA,NA,GRHL2
PPFIA2,NA,NA,NA,NA,NA,NA,GRHL3
PPFIA4,NA,NA,NA,NA,NA,NA,GRK5
PPM1E,NA,NA,NA,NA,NA,NA,GRWD1
PPP1R12A,NA,NA,NA,NA,NA,NA,GSC
PRAF2,NA,NA,NA,NA,NA,NA,GSDMD
PRDX6,NA,NA,NA,NA,NA,NA,GSTCD
PRKAR2A,NA,NA,NA,NA,NA,NA,GTF2A1
PRKDC,NA,NA,NA,NA,NA,NA,GTF2A2
PRKRA,NA,NA,NA,NA,NA,NA,GTF2B
PRODH,NA,NA,NA,NA,NA,NA,GTF2E1
PROSC,NA,NA,NA,NA,NA,NA,GTF2E2
PRPS1,NA,NA,NA,NA,NA,NA,GTF2F1
PSMC3,NA,NA,NA,NA,NA,NA,GTF2F2
PSMC6,NA,NA,NA,NA,NA,NA,GTF2H1
PSMD14,NA,NA,NA,NA,NA,NA,GTF2H2
PSMD3,NA,NA,NA,NA,NA,NA,GTF2H3
PSPC1,NA,NA,NA,NA,NA,NA,GTF2H4
PTGES3,NA,NA,NA,NA,NA,NA,GTF2I
PTPRF,NA,NA,NA,NA,NA,NA,GTF2IRD1
RAB11FIP2,NA,NA,NA,NA,NA,NA,GTF2IRD2
RAB1B,NA,NA,NA,NA,NA,NA,GTF3A
RAB2A,NA,NA,NA,NA,NA,NA,GTF3C2
